date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:35	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20May%202017%2003:01:43%20GMT	http://theluigiguy.github.io/RevChatStats	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%205%20May/theluigiguy.github.io/RevChatStats.0.delayed	(from )
23:01:35	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20May%202017%2003:01:44%20GMT	https://theluigiguy.github.io/RevChatStats	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%205%20May/theluigiguy.github.io/RevChatStats.1.delayed	(from )
23:01:36	25130/25130	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202017%2001:15:20%20GMT	https://theluigiguy.github.io/RevChatStats/	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%205%20May/theluigiguy.github.io/RevChatStats/index.html	(from )
23:01:36	5216/5216	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22590b8af1-239c%22	https://theluigiguy.github.io/robots.txt		(from )
23:01:36	104/104	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202017%2001:15:20%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//red-v.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%205%20May/theluigiguy.github.io/RevChatStats/gfx/red-v.png	(from https://theluigiguy.github.io/RevChatStats/)
23:01:36	112/112	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202017%2001:15:20%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//blue-h.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%205%20May/theluigiguy.github.io/RevChatStats/gfx/blue-h.png	(from https://theluigiguy.github.io/RevChatStats/)
23:01:37	114/114	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202017%2001:15:20%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//green-h.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%205%20May/theluigiguy.github.io/RevChatStats/gfx/green-h.png	(from https://theluigiguy.github.io/RevChatStats/)
23:01:37	110/110	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202017%2001:15:20%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//yellow-h.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%205%20May/theluigiguy.github.io/RevChatStats/gfx/yellow-h.png	(from https://theluigiguy.github.io/RevChatStats/)
23:01:37	110/110	---M--	200	added ('OK')	image/png	date:Sat,%2006%20May%202017%2001:15:20%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//red-h.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%205%20May/theluigiguy.github.io/RevChatStats/gfx/red-h.png	(from https://theluigiguy.github.io/RevChatStats/)
