date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:17	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202017%2004:44:23%20GMT	http://theluigiguy.github.io/RevChatStats	C:/HTTrack/RevChatStats%204%20May/theluigiguy.github.io/RevChatStats.0.delayed	(from )
00:44:18	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202017%2004:44:24%20GMT	https://theluigiguy.github.io/RevChatStats	C:/HTTrack/RevChatStats%204%20May/theluigiguy.github.io/RevChatStats.1.delayed	(from )
00:44:18	26780/26780	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202017%2003:04:38%20GMT	https://theluigiguy.github.io/RevChatStats/	C:/HTTrack/RevChatStats%204%20May/theluigiguy.github.io/RevChatStats/index.html	(from )
00:44:18	5216/5216	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22590a28b8-239c%22	https://theluigiguy.github.io/robots.txt		(from )
00:44:19	104/104	---M--	200	added ('OK')	image/png	date:Fri,%2005%20May%202017%2003:04:38%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//red-v.png	C:/HTTrack/RevChatStats%204%20May/theluigiguy.github.io/RevChatStats/gfx/red-v.png	(from https://theluigiguy.github.io/RevChatStats/)
00:44:19	112/112	---M--	200	added ('OK')	image/png	date:Fri,%2005%20May%202017%2003:04:38%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//blue-h.png	C:/HTTrack/RevChatStats%204%20May/theluigiguy.github.io/RevChatStats/gfx/blue-h.png	(from https://theluigiguy.github.io/RevChatStats/)
00:44:19	114/114	---M--	200	added ('OK')	image/png	date:Fri,%2005%20May%202017%2003:04:38%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//green-h.png	C:/HTTrack/RevChatStats%204%20May/theluigiguy.github.io/RevChatStats/gfx/green-h.png	(from https://theluigiguy.github.io/RevChatStats/)
00:44:19	110/110	---M--	200	added ('OK')	image/png	date:Fri,%2005%20May%202017%2003:04:38%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//yellow-h.png	C:/HTTrack/RevChatStats%204%20May/theluigiguy.github.io/RevChatStats/gfx/yellow-h.png	(from https://theluigiguy.github.io/RevChatStats/)
00:44:19	110/110	---M--	200	added ('OK')	image/png	date:Fri,%2005%20May%202017%2003:04:38%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//red-h.png	C:/HTTrack/RevChatStats%204%20May/theluigiguy.github.io/RevChatStats/gfx/red-h.png	(from https://theluigiguy.github.io/RevChatStats/)
