date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:13	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20May%202017%2020:26:27%20GMT	http://theluigiguy.github.io/RevChatStats	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%2011%20May/theluigiguy.github.io/RevChatStats.0.delayed	(from )
16:26:15	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20May%202017%2020:26:28%20GMT	https://theluigiguy.github.io/RevChatStats	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%2011%20May/theluigiguy.github.io/RevChatStats.1.delayed	(from )
16:26:15	26809/26809	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20May%202017%2002:01:52%20GMT	https://theluigiguy.github.io/RevChatStats/	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%2011%20May/theluigiguy.github.io/RevChatStats/index.html	(from )
16:26:15	5216/5216	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22590ba6fa-239c%22	https://theluigiguy.github.io/robots.txt		(from )
16:26:16	104/104	---M--	200	added ('OK')	image/png	date:Thu,%2011%20May%202017%2002:01:52%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//red-v.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%2011%20May/theluigiguy.github.io/RevChatStats/gfx/red-v.png	(from https://theluigiguy.github.io/RevChatStats/)
16:26:16	112/112	---M--	200	added ('OK')	image/png	date:Thu,%2011%20May%202017%2002:01:52%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//blue-h.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%2011%20May/theluigiguy.github.io/RevChatStats/gfx/blue-h.png	(from https://theluigiguy.github.io/RevChatStats/)
16:26:16	114/114	---M--	200	added ('OK')	image/png	date:Thu,%2011%20May%202017%2002:01:52%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//green-h.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%2011%20May/theluigiguy.github.io/RevChatStats/gfx/green-h.png	(from https://theluigiguy.github.io/RevChatStats/)
16:26:16	110/110	---M--	200	added ('OK')	image/png	date:Thu,%2011%20May%202017%2002:01:52%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//yellow-h.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%2011%20May/theluigiguy.github.io/RevChatStats/gfx/yellow-h.png	(from https://theluigiguy.github.io/RevChatStats/)
16:26:17	110/110	---M--	200	added ('OK')	image/png	date:Thu,%2011%20May%202017%2002:01:52%20GMT	https://theluigiguy.github.io/RevChatStats/gfx//red-h.png	C:/HTTrack/deluxer21.github.io/RevChatStatsArchive/RevChatStats%2011%20May/theluigiguy.github.io/RevChatStats/gfx/red-h.png	(from https://theluigiguy.github.io/RevChatStats/)
